team_id,team_name,country,academic
786,ICRS,,0
788,TFH,,0
789,oneup,,0
793,1338-offbyone,DE,0
794,p03p0wn,JP,0
796,Midnighters,,0
802,InterCEPTeam,CO,0
804,Alternatives,KR,0
807,cactus,,0
809,3x3cUt10n,,1
812,Insanity,ES,0
814,Audran,,0
818,Tapz,FR,0
821,GRIS-UFRJ,,0
824,SsoMac,KR,0
826,Antichat,RU,0
835,Joon,,0
838,singi,,0
846,chobo,,0
853,w00t,,0
859,Inception,RU,0
861,blabla,,0
874,Fen1x,,0
877,NHK,,0
880,0x27,,0
881,itsme,,0
883,killer,,0
888,nopnop,,0
898,qwerqwer,,0
900,Securimag,FR,0
902,Kuddelfleck,LU,0
903,faketeam,,0
909,justforfun,,0
913,Reverselab,KR,0
915,insec,,0
916,Arc,,0
926,GRIS,BR,1
930,jeje-50,FR,0
936,newstar,,0
944,jungle,,0
949,newbies,,0
950,LoLa,,0
951,0x000,,0
953,n00bz,,0
958,NPI,,0
959,pwn3r,,0
962,LeaveRet,KR,0
965,HighFive,KR,0
967,camelCase,,0
970,orz,,0
971,machoman,,0
974,Venom,,0
975,Aquarium,JP,0
976,Hathackers,,0
979,websters,,0
988,BAD_Magic,RU,0
992,World,,0
1000,OSteam,,0
1005,More Smoked Leet Chicken,RU,0
1006,IV,RU,0
1007,gd,,0
1008,GG,,0
1009,c4,,0
1010,ti,,0
1011,qq,,0
1012,cw,,0
1013,IU,,0
1016,..,,0
1019,EpicFail,US,0
1020,ACME Pharmaceuticals,,0
1021,+++,,0
1022,nibbles,,0
1024,0xABC,MP,0
1040,KUICS,KR,1
1044,0day,RU,0
1045,justmyself,,0
1051,THD,,0
1052,helloWorld,,0
1055,nemesis,,0
1058,Assa,TG,0
1059,casper,KR,0
1061,ra,,0
1062,HQS,,0
1068,Omni,,0
1071,noname,,0
1073,hust,KR,0
1074,trololo,,0
1077,Neko,,0
1080,Rav3n,,0
1083,zaregoto,,0
1086,math,,0
1095,Tester,,0
1098,3rr0r,,0
1102,hackerlogin,,0
1103,cat,,0
1110,bobsleigh,,0
1116,letmein,UG,0
1118,fml,,0
1122,mak,,0
1129,err0r,,0
1130,Team404,,0
1131,1_man_army,,0
1136,dark,,0
1139,Dawgs,,0
1141,DTC,,0
1142,Ender,,0
1152,luffy,,0
1154,n0body,,0
1155,NS,,0
1156,pago,,0
1157,pollypocket,BE,0
1160,Roman,,0
1161,rose,,0
1165,StolenBytes,,0
1168,taz,,0
1170,UFSIT,,0
1288,GoN,KR,1
1290,BlackDragon,,0
1294,B10S,KR,0
1298,CAT-Security,KR,1
1301,TeamH4C,KR,0
1309,ICEWALL,KR,1
1312,VERA,,0
1313,aegis,KR,0
1318,4RGOS,,0
1319,JailBreak,,0
1320,empire-old,,0
1327,Metric,,0
1329,captchaflag,US,0
1332,Nandy Narwhals,SG,0
1333,0xFA,CN,0
1334,Defender,,0
1336,Kroot,,0
1337,tmp,UA,0
1352,windows,,0
1353,vubar,NL,1
1355,whitehacker,,0
1357,Ololo,,0
1358,IGRUS,KR,1
1362,Unknown,,0
1367,OVERTIME,,0
1370,dr0x0N,,0
1383,0x41,,0
1386,mono,,0
1388,joizel,,0
1391,White,,0
1393,SWING,,0
1398,Magic Hat,RU,0
1399,bitmap,,0
1404,DAGESTAN,RU,0
1407,Just4Fun,,0
1411,Headump,RU,1
1413,Noobs4Win,RU,0
1414,-=HQS=-,RU,0
1418,SlashDotDash,RU,0
1422,BigBrother,,0
1423,xPuzzle,,0
1425,Singularity,RU,0
1427,xBh,RU,0
